"ACTIVATION","activityRatio","ALL_EDGE","canonicalName","description","EdgeBetweenness","enabled","increment","interaction","name","ORIG_TYPE","PATHWAY","scenario","selected","shared interaction","shared name","TYPE","UNDO_PROT"
,"0.25",,,,"96.83333333333336",,,"interacts with","MEsaddlebrown (interacts with) MEorange",,,,"false","interacts with","MEsaddlebrown (interacts with) MEorange",,
,"0.25",,,,"166.0",,,"interacts with","MEsaddlebrown (interacts with) ICB Response",,,,"false","interacts with","MEsaddlebrown (interacts with) ICB Response",,
,"0.25",,,,"499.66666666666674",,,"interacts with","MEsalmon (interacts with) MEblue",,,,"false","interacts with","MEsalmon (interacts with) MEblue",,
,"0.25",,,,"626.5",,,"interacts with","MEskyblue (interacts with) MEtan",,,,"false","interacts with","MEskyblue (interacts with) MEtan",,
,"0.25",,,,"618.0",,,"interacts with","MEskyblue (interacts with) MEpink",,,,"false","interacts with","MEskyblue (interacts with) MEpink",,
,"0.25",,,,"96.0",,,"interacts with","MEtan (interacts with) MEgrey60",,,,"false","interacts with","MEtan (interacts with) MEgrey60",,
,"0.25",,,,"1142.5",,,"interacts with","MEtan (interacts with) MEgrey",,,,"false","interacts with","MEtan (interacts with) MEgrey",,
,"0.25",,,,"769.0",,,"interacts with","MEturquoise (interacts with) MEmidnightblue",,,,"false","interacts with","MEturquoise (interacts with) MEmidnightblue",,
,"0.25",,,,"29.0",,,"interacts with","MEwhite (interacts with) MEroyalblue",,,,"false","interacts with","MEwhite (interacts with) MEroyalblue",,
,"0.25",,,,"621.0833333333334",,,"interacts with","MEyellow (interacts with) MEdarkgrey",,,,"false","interacts with","MEyellow (interacts with) MEdarkgrey",,
,"0.25",,,,"203.75",,,"interacts with","MEyellow (interacts with) MEbrown",,,,"false","interacts with","MEyellow (interacts with) MEbrown",,
,"0.25",,,,"271.0",,,"interacts with","MEyellow (interacts with) MElightyellow",,,,"false","interacts with","MEyellow (interacts with) MElightyellow",,
